Model,dataset,Metric,Partition,CV,Data,Intercept,Mtry,Ncomp,C,Median_Degree,Median_Scale,Median_Sigma,Mean_Spearman_R,Min_Spearman_R,Max_Spearman_R
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,75.712,NA,NA,NA,0.7499115396163845,0.5510419560989165,0.8670186162823008
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,104.188,NA,NA,NA,0.749860137935039,0.5483189774937484,0.8772558663789972
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,77.175,NA,NA,NA,0.7498334620561641,0.547429841622673,0.8662406223951099
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,74.263,NA,NA,NA,0.7498220711995011,0.5476521255904419,0.8670186162823008
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,86.247,NA,NA,NA,0.7498109571400929,0.5523200889135872,0.8686978147242167
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,70,NA,NA,NA,0.7497931723883015,0.5562100583495416,0.8681300361211449
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,105.903,NA,NA,NA,0.7497801148573909,0.5521533759377606,0.8772558663789972
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,81.648,NA,NA,NA,0.7496928678982073,0.5493748263406503,0.8671853292581275
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,71.407,NA,NA,NA,0.7496900882793216,0.5537649347040846,0.8680744651292026
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,68.607,NA,NA,NA,0.749636739428337,0.5557099194220617,0.8682411781050293
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,121.968,NA,NA,NA,0.7495589439192047,0.5503195332036678,0.8828686145421976
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,84.7,NA,NA,NA,0.7495475475153118,0.5505973881633788,0.8667528029844939
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,109.375,NA,NA,NA,0.7495419939753186,0.5505418171714366,0.8772558663789972
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,118.3,NA,NA,NA,0.7495153203160817,0.5522089469297028,0.8807013157465063
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,65.863,NA,NA,NA,0.7494761386516979,0.5545984995832177,0.8674076132258962
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,64.512,NA,NA,NA,0.7494747492379314,0.5558210614059462,0.8682967490969715
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,67.228,NA,NA,NA,0.749459189545478,0.5557099194220617,0.8680188941372605
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,112.903,NA,NA,NA,0.7494458565182813,0.5505973881633788,0.8768946499130487
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,111.132,NA,NA,NA,0.7494000101102002,0.5510975270908587,0.8776448687269417
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,63.175000000000004,NA,NA,NA,0.7493838905039827,0.5563767713253682,0.8682967490969715
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,61.852000000000004,NA,NA,NA,0.7493255418001112,0.5542650736315644,0.8682967490969715
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,59.248000000000005,NA,NA,NA,0.7492219017534497,0.5598777438177273,0.8687413170325092
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,60.543,NA,NA,NA,0.7491377112683041,0.55793275909975,0.8682967490969715
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,57.967,NA,NA,NA,0.7490651900815533,0.5587663239788832,0.8677410391775495
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,123.82300000000001,NA,NA,NA,0.7490387985699388,0.547929980550153,0.8850636992198847
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,55.447,NA,NA,NA,0.7489973932860825,0.5573770491803279,0.8653514865240347
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,56.7,NA,NA,NA,0.7489712743022284,0.5597110308419007,0.8675743262017229
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,54.208,NA,NA,NA,0.7488934744116663,0.5592108919144207,0.8659627674353988
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,120.12700000000001,NA,NA,NA,0.7488784744631609,0.5539872186718534,0.8821461816103005
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,125.69200000000001,NA,NA,NA,0.7488518020160609,0.5467629897193667,0.8836188333560906
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,114.688,NA,NA,NA,0.7488190130462788,0.5509863851069743,0.8760610734531675
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,52.983000000000004,NA,NA,NA,0.7488070615886808,0.5585440400111144,0.8674631842178385
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,51.772,NA,NA,NA,0.7487170372379769,0.5609335926646292,0.8669074742984164
PLS,Sum of Squares,Spearman_R,Random,Random,Spectra,NA,NA,16,NA,NA,NA,NA,0.7487009091623916,0.5879410947485414,0.8552216619561369
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,129.472,NA,NA,NA,0.7487000924900437,0.5454292859127536,0.8813681769144113
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,50.575,NA,NA,NA,0.7486820278913596,0.5609335926646292,0.8620727979994446
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,131.383,NA,NA,NA,0.7485714430418937,0.5326479577660462,0.8842301227600036
PCR,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,30,NA,NA,NA,NA,0.7484888964360971,0.5778271742150598,0.8655181994998612
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,49.392,NA,NA,NA,0.7483836117341196,0.5606557377049182,0.8621839399833289
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,48.223,NA,NA,NA,0.7483463797254004,0.5593776048902473,0.8612392331203113
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,47.068,NA,NA,NA,0.7482046727694879,0.5596554598499585,0.8633509308141153
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,139.167,NA,NA,NA,0.7481866135520874,0.5412614615170882,0.8864529933196867
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,45.927,NA,NA,NA,0.7480885284042396,0.5577660461239234,0.8625173659349821
PCR,Base Spectra,Spearman_R,Random,Random,Spectra,NA,NA,31,NA,NA,NA,NA,0.7479970976662358,0.5763823284245625,0.8615170880800223
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,127.575,NA,NA,NA,0.7479923932247889,0.5499861072520146,0.8822017533742924
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,133.308,NA,NA,NA,0.7479760004422719,0.5478744095582107,0.8835910474740946
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,44.800000000000004,NA,NA,NA,0.7479268150921555,0.5580994720755766,0.8628507918866353
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,135.247,NA,NA,NA,0.7478668041263576,0.5427618782995277,0.8807568875104984
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,137.20000000000002,NA,NA,NA,0.7478301257970709,0.533148096693526,0.8820350380823163
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,43.687,NA,NA,NA,0.747776216646277,0.5583773270352876,0.8632397888302307
PCR,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,29,NA,NA,NA,NA,0.7476859008370185,0.5952208946929703,0.864629063628786
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,42.588,NA,NA,NA,0.7473505420141727,0.5577104751319811,0.8632397888302307
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,41.503,NA,NA,NA,0.7472032794722866,0.5561544873575994,0.8614615170880802
PCR,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,28,NA,NA,NA,NA,0.7468445604119474,0.5933314809669354,0.8607390941928316
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,40.432,NA,NA,NA,0.7468426242673042,0.5583217560433456,0.8614615170880802
PCR,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,25,NA,NA,NA,NA,0.7467220240006691,0.5687691025284802,0.8567935537649349
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,39.375,NA,NA,NA,0.7466145041988919,0.5606557377049182,0.8615170880800223
PCR,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,26,NA,NA,NA,NA,0.7465692031088651,0.5796054459572104,0.8583495415393168
PCR,Base Spectra,Spearman_R,Random,Random,Spectra,NA,NA,27,NA,NA,NA,NA,0.7465225330491059,0.5956098916365659,0.858738538482912
PCR,Base Spectra,Spearman_R,Random,Random,Spectra,NA,NA,28,NA,NA,NA,NA,0.7463566460218024,0.5958877465962769,0.8579605445957211
PCR,Base Spectra,Spearman_R,Random,Random,Spectra,NA,NA,30,NA,NA,NA,NA,0.7462699548227969,0.597554876354543,0.8604612392331205
PCR,Base Spectra,Spearman_R,Random,Random,Spectra,NA,NA,32,NA,NA,NA,NA,0.7461768687867592,0.5467629897193667,0.8630730758544043
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,38.332,NA,NA,NA,0.7461229777174468,0.5606557377049182,0.8602945262572939
PCR,Base Spectra,Spearman_R,Random,Random,Spectra,NA,NA,29,NA,NA,NA,NA,0.7457553713439664,0.5968880244512366,0.8637954987496528
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,37.303,NA,NA,NA,0.7455928293116767,0.564101139205335,0.8595721033620451
PCR,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,31,NA,NA,NA,NA,0.74554474889627,0.5468185607113087,0.8607946651847738
PCR,Base Spectra,Spearman_R,Random,Random,Spectra,NA,NA,33,NA,NA,NA,NA,0.7454880661177246,0.5485412614615172,0.8607390941928316
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,36.288000000000004,NA,NA,NA,0.7453691560884121,0.564101139205335,0.8609613781606003
PCR,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,27,NA,NA,NA,NA,0.7453171836961101,0.5760489024729093,0.8583495415393168
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,35.287,NA,NA,NA,0.7451827147040126,0.5678799666574049,0.8610725201444848
PLS,Base Spectra,Spearman_R,Random,Random,Spectra,NA,NA,17,NA,NA,NA,NA,0.7447987000183035,0.5505418171714366,0.875088567583306
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,34.300000000000004,NA,NA,NA,0.7446325615981344,0.5686023895526536,0.8607390941928316
PCR,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,32,NA,NA,NA,NA,0.744471118791114,0.546040566824118,0.8654070575159768
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,33.327,NA,NA,NA,0.7444408416836537,0.5742150597388165,0.8621283689913867
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,32.368,NA,NA,NA,0.7443069158478494,0.5751041956098917,0.8637399277577107
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,31.423000000000002,NA,NA,NA,0.7442805196382576,0.5766046123923313,0.8624617949430399
PCR,Base Spectra,Spearman_R,Random,Random,Spectra,NA,NA,26,NA,NA,NA,NA,0.7442532833746676,0.581383717699361,0.8526813003612115
PCR,Sum of Squares,Spearman_R,Random,Random,Spectra,NA,NA,29,NA,NA,NA,NA,0.744214938591111,0.584051125312587,0.8644067796610171
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,30.492,NA,NA,NA,0.743899858196764,0.5739372047791055,0.8624617949430399
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,29.575,NA,NA,NA,0.7437653754659349,0.5734370658516256,0.8607390941928316
PCR,Sum of Squares,Spearman_R,Random,Random,Spectra,NA,NA,30,NA,NA,NA,NA,0.7437553554281696,0.5794387329813838,0.8693525979438733
PCR,Base Spectra,Spearman_R,Random,Random,Spectra,NA,NA,34,NA,NA,NA,NA,0.7437506302648543,0.5565434843011949,0.8556265629341486
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,28.672,NA,NA,NA,0.743512804732364,0.5746596276743542,0.8602389552653515
PCR,Base Spectra,Spearman_R,Random,Random,Spectra,NA,NA,25,NA,NA,NA,NA,0.7433516388421914,0.5713253681578216,0.8508474576271188
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,27.783,NA,NA,NA,0.7432332817434533,0.5795498749652682,0.8610169491525426
PLS,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,15,NA,NA,NA,NA,0.7430871178053752,0.5694359544317867,0.8539435113843191
PCR,Sum of Squares,Spearman_R,Random,Random,Spectra,NA,NA,25,NA,NA,NA,NA,0.7430145999769484,0.5775493192553488,0.8516254515143097
PCR,Base Spectra,Spearman_R,Random,Random,Spectra,NA,NA,35,NA,NA,NA,NA,0.7428817740536705,0.5656571269797167,0.8619060850236179
PCR,Sum of Squares,Spearman_R,Random,Random,Spectra,NA,NA,26,NA,NA,NA,NA,0.7428356620545914,0.5748819116421229,0.8567935537649349
PCR,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,23,NA,NA,NA,NA,0.7428331572256424,0.5518755209780496,0.8590719644345653
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,26.908,NA,NA,NA,0.7427767643191028,0.5782717421505975,0.8610725201444848
PLS,Base Spectra,Spearman_R,Random,Random,Spectra,NA,NA,15,NA,NA,NA,NA,0.7427006206261701,0.5677132536815783,0.8690747429841623
PCR,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,33,NA,NA,NA,NA,0.7426867267702651,0.5398721867185331,0.8626285079188666
PCR,Sum of Squares,Spearman_R,Random,Random,Spectra,NA,NA,31,NA,NA,NA,NA,0.742656442907362,0.5308141150319534,0.8653514865240347
PCR,Sum of Squares,Spearman_R,Random,Random,Spectra,NA,NA,28,NA,NA,NA,NA,0.7425772617172133,0.5818838566268408,0.8564601278132816
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,26.047,NA,NA,NA,0.7425264162399247,0.5799944429008059,0.861683801055849
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,25.2,NA,NA,NA,0.7422229979985565,0.5745484856904697,0.8605168102250625
PCR,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,24,NA,NA,NA,NA,0.7422057557237133,0.5547652125590443,0.8586273964990278
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,24.367,NA,NA,NA,0.7419918224829133,0.5732147818838568,0.8586829674909698
PCR,Sum of Squares,Spearman_R,Random,Random,Spectra,NA,NA,27,NA,NA,NA,NA,0.7418920631912318,0.5709363712142264,0.8583495415393168
PCR,Base Spectra,Spearman_R,Random,Random,Spectra,NA,NA,24,NA,NA,NA,NA,0.741890952250088,0.5633787163100863,0.8652403445401501
SVML,Standardized,Spearman_R,Random,Random,Spectra,NA,NA,NA,2.527,NA,NA,NA,0.7418648389756054,0.5684912475687692,0.862723850095068
SVML,Standardized,Spearman_R,Random,Random,Spectra,NA,NA,NA,2.2680000000000002,NA,NA,NA,0.7417084072779382,0.5666574048346764,0.863295359822173
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,23.548000000000002,NA,NA,NA,0.7416834023658719,0.5728257849402613,0.8582383995554321
PCR,Base Spectra,Spearman_R,Random,Random,Spectra,NA,NA,36,NA,NA,NA,NA,0.7416667151061975,0.5662684078910809,0.8585162545151434
SVML,Standardized,Spearman_R,Random,Random,Spectra,NA,NA,NA,2.023,NA,NA,NA,0.7416303302156798,0.5664906918588498,0.8605723812170049
SVML,Standardized,Spearman_R,Random,Random,Spectra,NA,NA,NA,2.8000000000000003,NA,NA,NA,0.7414380536339574,0.5683801055848848,0.8658080829966284
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,22.743000000000002,NA,NA,NA,0.7412780084861047,0.5714365101417062,0.8577938316198946
PCR,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,34,NA,NA,NA,NA,0.741252990545829,0.5469852736871355,0.8672964712420118
SVML,Standardized,Spearman_R,Random,Random,Spectra,NA,NA,NA,3.087,NA,NA,NA,0.7412174357112347,0.568435676576827,0.867503021798387
SVML,Standardized,Spearman_R,Random,Random,Spectra,NA,NA,NA,3.388,NA,NA,NA,0.7412015998275835,0.5676021116976939,0.8762000028631478
SVML,Standardized,Spearman_R,Random,Random,Spectra,NA,NA,NA,1.792,NA,NA,NA,0.7411343592554358,0.5677688246735205,0.8617949430397335
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,21.952,NA,NA,NA,0.740926798296086,0.571380939149764,0.8597943873298141
PCR,Sum of Squares,Spearman_R,Random,Random,Spectra,NA,NA,32,NA,NA,NA,NA,0.7408462164126847,0.5318143928869131,0.8645179216449015
PCR,Base Spectra,Spearman_R,Random,Random,Spectra,NA,NA,37,NA,NA,NA,NA,0.7408070392533407,0.5829397054737427,0.8592386774103918
SVML,Standardized,Spearman_R,Random,Random,Spectra,NA,NA,NA,3.7030000000000003,NA,NA,NA,0.7404869575699171,0.571658794109475,0.8747551369993537
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,21.175,NA,NA,NA,0.7404255460224975,0.5747707696582385,0.8602389552653515
SVML,Standardized,Spearman_R,Random,Random,Spectra,NA,NA,NA,4.032,NA,NA,NA,0.7402171588946858,0.5709363712142264,0.8747273511173574
PCR,Base Spectra,Spearman_R,Random,Random,Spectra,NA,NA,38,NA,NA,NA,NA,0.7400284881275497,0.5824395665462629,0.858460683523201
PCR,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,35,NA,NA,NA,NA,0.7399503977859647,0.5540427896637956,0.8672964712420118
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,20.412,NA,NA,NA,0.7398339924697108,0.577049180327869,0.8590163934426231
PCR,Base Spectra,Spearman_R,Random,Random,Spectra,NA,NA,23,NA,NA,NA,NA,0.7397595201643155,0.5633231453181441,0.8523478744095584
SVML,Standardized,Spearman_R,Random,Random,Spectra,NA,NA,NA,1.575,NA,NA,NA,0.7396914536551941,0.5651569880522368,0.8585718255070854
SVML,Standardized,Spearman_R,Random,Random,Spectra,NA,NA,NA,4.375,NA,NA,NA,0.7395361361027789,0.5691025284801334,0.8775615110809536
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,19.663,NA,NA,NA,0.7393266286068633,0.5753264795776606,0.8581272575715477
PCR,Maximum Value,Spearman_R,Random,Random,Spectra,NA,NA,25,NA,NA,NA,NA,0.7392377095575104,0.553876076687969,0.858738538482912
PLS,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,17,NA,NA,NA,NA,0.7390515381685964,0.5249235898860796,0.8744217064154011
SVML,Standardized,Spearman_R,Random,Random,Spectra,NA,NA,NA,1.372,NA,NA,NA,0.7390287666000226,0.5607113086968604,0.8585718255070854
PCR,Sum of Squares,Spearman_R,Random,Random,Spectra,NA,NA,33,NA,NA,NA,NA,0.7389715240931384,0.53098082800778,0.8645734926368437
SVML,Standardized,Spearman_R,Random,Random,Spectra,NA,NA,NA,4.732,NA,NA,NA,0.7388976267912213,0.5672686857460406,0.8813126051504193
PCR,Base Spectra,Spearman_R,Random,Random,Spectra,NA,NA,39,NA,NA,NA,NA,0.7388534407999912,0.5826062795220895,0.8617393720477913
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,18.928,NA,NA,NA,0.738614207961315,0.5753264795776606,0.8603500972492362
PCR,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,36,NA,NA,NA,NA,0.7384174754397466,0.5530425118088359,0.8671297582661852
SVML,Standardized,Spearman_R,Random,Random,Spectra,NA,NA,NA,1.183,NA,NA,NA,0.7382879997803822,0.5583773270352876,0.8575159766601836
PCR,Maximum Value,Spearman_R,Random,Random,Spectra,NA,NA,28,NA,NA,NA,NA,0.7382496599612237,0.5635454292859128,0.8657960544595722
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,18.207,NA,NA,NA,0.7380776697677588,0.578160600166713,0.8609613781606003
PLS,Sum of Squares,Spearman_R,Random,Random,Spectra,NA,NA,15,NA,NA,NA,NA,0.7379923660793963,0.5663795498749654,0.8536815782161712
SVML,Standardized,Spearman_R,Random,Random,Spectra,NA,NA,NA,5.103,NA,NA,NA,0.7379079047766108,0.5656015559877745,0.8807568875104984
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,17.5,NA,NA,NA,0.7378292674878237,0.5763823284245625,0.8609058071686582
PCR,Maximum Value,Spearman_R,Random,Random,Spectra,NA,NA,29,NA,NA,NA,NA,0.7374941612700304,0.5253681578216172,0.8646846346207281
PCR,Maximum Value,Spearman_R,Random,Random,Spectra,NA,NA,26,NA,NA,NA,NA,0.7374066420956555,0.554431786607391,0.8544595721033622
PCR,Sum of Squares,Spearman_R,Random,Random,Spectra,NA,NA,34,NA,NA,NA,NA,0.7374038619827022,0.5378716310086137,0.8681300361211449
PCR,Base Spectra,Spearman_R,Random,Random,Spectra,NA,NA,41,NA,NA,NA,NA,0.737286890105447,0.5530425118088359,0.8666296193387054
PCR,Sum of Squares,Spearman_R,Random,Random,Spectra,NA,NA,23,NA,NA,NA,NA,0.7372674362358475,0.5459849958321757,0.8513475965545987
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,16.807,NA,NA,NA,0.7371613035547648,0.5754931925534872,0.8601833842734095
PCR,Sum of Squares,Spearman_R,Random,Random,Spectra,NA,NA,35,NA,NA,NA,NA,0.7371165537856825,0.5500416782439568,0.8670186162823008
PCR,Base Spectra,Spearman_R,Random,Random,Spectra,NA,NA,40,NA,NA,NA,NA,0.7368737183559051,0.5745484856904697,0.864906918588497
PLS,Maximum Value,Spearman_R,Random,Random,Spectra,NA,NA,15,NA,NA,NA,NA,0.7368445376520251,0.5610447346485137,0.8529035843289805
PCR,Sum of Squares,Spearman_R,Random,Random,Spectra,NA,NA,24,NA,NA,NA,NA,0.736812309611085,0.550652959155321,0.8512920255626564
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,16.128,NA,NA,NA,0.7367522994211663,0.5763267574326203,0.8608502361767159
SVML,Standardized,Spearman_R,Random,Random,Spectra,NA,NA,NA,5.488,NA,NA,NA,0.7367356296755068,0.5578216171158656,0.8773392240249853
PCR,Maximum Value,Spearman_R,Random,Random,Spectra,NA,NA,30,NA,NA,NA,NA,0.7367081049721258,0.5343150875243124,0.8607390941928316
PCR,Maximum Value,Spearman_R,Random,Random,Spectra,NA,NA,27,NA,NA,NA,NA,0.7364888844267787,0.554431786607391,0.8544595721033622
SVML,Standardized,Spearman_R,Random,Random,Spectra,NA,NA,NA,1.008,NA,NA,NA,0.7359926334421305,0.5646012781328148,0.8505140316754657
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,15.463000000000001,NA,NA,NA,0.7358712189853066,0.5757710475131982,0.8572381217004724
PCR,Base Spectra,Spearman_R,Random,Random,Spectra,NA,NA,42,NA,NA,NA,NA,0.7358631585897331,0.5485968324534594,0.8681300361211449
PCR,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,38,NA,NA,NA,NA,0.7356272583778793,0.5496526813003613,0.8636843567657684
SVML,Standardized,Spearman_R,Random,Random,Spectra,NA,NA,NA,5.8870000000000005,NA,NA,NA,0.7355900294727918,0.5573214781883857,0.8733380570175555
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,14.812000000000001,NA,NA,NA,0.7355622451193661,0.5747707696582385,0.8558488469019173
PCR,Sum of Squares,Spearman_R,Random,Random,Spectra,NA,NA,36,NA,NA,NA,NA,0.7354510962913176,0.5454292859127536,0.863295359822173
